,505,1416,2398,3013,3415,55440,64847,209255,211417,218663,230630,239880,246892,247995,252791,255118,255993,282044,286810,291246,293116,310369,324525,330067,331176,336774,338275,351864,354439,355004
505,0,10,10,10,10,10,10,10,10,10,10,3,4,10,10,0,10,10,5,10,10,10,10,10,9,9,10,10,10,10
1416,0,0,8,7,0,3,10,0,0,6,0,0,0,0,0,0,10,10,0,7,0,10,10,10,0,10,0,0,10,0
2398,0,2,0,2,0,0,10,10,0,0,0,0,0,0,0,0,10,9,0,10,0,10,10,10,0,10,2,0,5,10
3013,0,3,8,0,0,10,10,4,10,10,1,0,1,1,1,0,10,10,3,10,0,10,9,10,0,10,0,0,10,1
3415,0,10,10,10,0,10,10,10,10,10,0,0,6,0,10,0,10,10,0,10,10,10,10,10,0,10,10,10,10,10
55440,0,7,3,0,0,0,0,7,0,7,0,0,0,0,0,0,10,9,0,5,0,10,0,10,0,5,7,0,0,4
64847,0,0,0,0,0,9,0,0,0,0,4,0,0,0,0,0,2,2,0,2,0,10,10,7,0,1,0,0,0,2
209255,0,10,0,6,0,0,10,0,9,5,0,0,0,0,0,0,10,10,0,9,0,10,6,10,0,10,10,1,8,10
211417,0,10,10,0,0,10,10,1,0,10,0,0,0,0,5,0,10,10,0,10,0,10,10,10,0,8,10,10,10,7
218663,0,4,10,0,0,3,10,5,0,0,0,0,0,0,0,0,10,10,0,10,0,10,10,10,0,10,3,0,10,6
230630,0,10,10,9,10,10,6,10,10,10,0,2,4,10,10,0,10,10,10,10,10,10,10,10,10,10,10,4,10,10
239880,7,10,10,10,10,10,10,10,10,10,8,0,0,10,10,1,10,10,0,10,10,10,10,10,0,9,10,10,10,10
246892,6,10,10,9,4,10,10,10,10,10,6,10,0,4,10,8,10,10,0,10,0,10,10,10,1,10,10,10,10,10
247995,0,10,10,9,10,10,10,10,10,10,0,0,6,0,10,0,10,10,0,10,10,10,10,10,0,10,10,10,10,10
252791,0,10,10,9,0,10,10,10,5,10,0,0,0,0,0,0,10,10,0,10,0,10,10,10,0,9,10,1,10,10
255118,10,10,10,10,10,10,10,10,10,10,10,9,2,10,10,0,10,10,7,10,10,10,10,10,10,10,10,10,10,10
255993,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,10,0,1,0,0,0,1
282044,0,0,1,0,0,1,8,0,0,0,0,0,0,0,0,0,10,0,0,9,0,2,7,8,0,0,0,0,9,0
286810,5,10,10,7,10,10,10,10,10,10,0,10,10,10,10,3,10,10,0,10,10,10,10,10,10,10,10,10,10,10
291246,0,3,0,0,0,5,8,1,0,0,0,0,0,0,0,0,9,1,0,0,0,5,7,10,0,1,0,0,9,0
293116,0,10,10,10,0,10,10,10,10,10,0,0,10,0,10,0,10,10,0,10,0,10,10,10,0,9,10,10,10,10
310369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,0,0,0,10,0,8,0,0,8,9
324525,0,0,0,1,0,10,0,4,0,0,0,0,0,0,0,0,7,3,0,3,0,10,0,10,0,1,1,0,0,6
330067,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
331176,1,10,10,10,10,10,10,10,10,10,0,10,9,10,10,0,10,10,0,10,10,10,10,10,0,8,10,10,10,10
336774,1,0,0,0,0,5,9,0,2,0,0,1,0,0,1,0,9,10,0,9,1,2,9,10,2,0,0,0,10,5
338275,0,10,0,10,0,3,10,0,0,7,0,0,0,0,0,0,10,10,0,10,0,10,9,10,0,10,0,0,10,9
351864,0,10,10,10,0,10,10,9,0,10,6,0,0,0,9,0,10,10,0,10,0,10,10,10,0,10,10,0,10,10
354439,0,0,5,0,0,10,10,2,0,0,0,0,0,0,0,0,10,1,0,1,0,2,10,10,0,0,0,0,0,0
355004,0,10,0,9,0,6,8,0,3,4,0,0,0,0,0,0,9,10,0,10,0,1,4,10,0,5,1,0,10,0
