,18,505,588,685,51071,51360,52164,84305,207017,211435,218687,219014,220559,230809,234634,256880,262923,264338,266515,284566,289226,303448,325477,327739,331859,337899,341645,349157,352916,353058
18,0,0,0,6,0,10,0,0,0,10,0,0,0,0,0,9,0,2,10,0,0,8,0,10,10,0,0,0,2,0
505,10,0,0,10,0,10,0,4,0,10,10,0,0,10,0,8,10,0,10,0,10,10,10,10,10,0,10,0,10,0
588,10,10,0,10,0,10,0,10,10,10,10,0,0,10,0,10,10,10,10,9,10,10,9,10,10,0,10,1,10,0
685,4,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,0,10,0,0,0,0,0,0
51071,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
51360,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52164,10,10,10,10,0,10,0,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
84305,10,6,0,10,0,10,0,0,0,10,2,0,0,3,0,10,10,0,10,0,10,10,0,10,10,0,10,0,10,0
207017,10,10,0,10,0,10,0,10,0,10,10,0,0,10,0,10,10,10,10,0,10,10,10,10,10,0,10,0,10,0
211435,0,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,2,0,6,2,0,0,0,2,0
218687,10,0,0,10,0,10,0,8,0,10,0,0,0,0,0,10,10,0,10,0,0,10,0,10,10,0,10,10,10,0
219014,10,10,10,10,0,10,1,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
220559,10,10,10,10,0,10,0,10,10,10,10,0,0,10,0,10,10,10,10,10,10,10,10,10,10,10,10,0,10,0
230809,10,0,0,10,0,10,0,7,0,10,10,0,0,0,0,10,10,10,10,10,0,10,2,10,10,0,10,0,10,0
234634,10,10,10,10,0,10,0,10,10,10,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
256880,1,2,0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,5,10,0,1,10,0,10,10,0,0,0,10,0
262923,10,0,0,10,0,10,0,0,0,8,0,0,0,0,0,10,0,0,10,0,0,10,0,10,10,0,10,0,10,0
264338,8,10,0,10,0,10,0,10,0,10,10,0,0,0,0,5,10,0,10,4,10,10,0,10,10,0,10,0,10,0
266515,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284566,10,10,1,10,0,10,0,10,10,10,10,0,0,0,0,10,10,6,10,0,10,10,0,10,10,4,10,0,10,0
289226,10,0,0,10,0,10,0,0,0,10,10,0,0,10,0,9,10,0,10,0,0,10,0,10,10,0,10,0,10,0
303448,2,0,0,7,0,10,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,3,6,0,0,0,9,0
325477,10,0,1,10,0,10,0,10,0,10,10,0,0,8,0,10,10,10,10,10,10,10,0,10,10,0,10,0,10,0
327739,0,0,0,0,0,10,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,7,0,0,3,0,0,0,2,0
331859,0,0,0,10,0,10,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,4,0,7,0,0,0,0,0,0
337899,10,10,10,10,0,10,0,10,10,10,10,0,0,10,0,10,10,10,10,6,10,10,10,10,10,0,10,10,10,0
341645,10,0,0,10,0,10,0,0,0,10,0,0,0,0,0,10,0,0,10,0,0,10,0,10,10,0,0,0,9,0
349157,10,10,9,10,0,10,0,10,10,10,0,0,10,10,0,10,10,10,10,10,10,10,10,10,10,0,10,0,10,0
352916,8,0,0,10,0,10,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,1,0,8,10,0,1,0,0,0
353058,10,10,10,10,0,10,0,10,10,10,10,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
